,Movie,Rating,Genre,Release Date,Runtime,Director,URL
0,Black Adam,73.0,"Action, Fantasy, Science Fiction",10/21/2022 ,2h 5m,Jason Suhrke,https://www.themoviedb.org/movie/436270-black-adam
1,R.I.P.D. 2: Rise of the Damned,68.0,"Fantasy, Action, Comedy, Crime",11/15/2022 ,1h 42m,Paul Leyden,https://www.themoviedb.org/movie/1013860-r-i-p-d-2-rise-of-the-damned
2,Paradise City,62.0,"Crime, Action, Thriller",11/17/2022 ,1h 33m,Chuck Russell,https://www.themoviedb.org/movie/829799-paradise-city
3,Corrective Measures,50.0,"Science Fiction, Action",04/29/2022 ,1h 46m,Sean Patrick O'Reilly,https://www.themoviedb.org/movie/872177-corrective-measures
4,Hex,43.0,"Action, Horror, Thriller",11/01/2022 ,1h 28m,Andy Malchiodi,https://www.themoviedb.org/movie/988233-hex
5,The Woman King,79.0,"Action, Drama, History",09/16/2022 ,2h 15m,Gina Prince-Bythewood,https://www.themoviedb.org/movie/724495-the-woman-king
6,Emily the Criminal,69.0,"Crime, Drama, Mystery, Thriller",08/12/2022 ,1h 37m,John Patton Ford,https://www.themoviedb.org/movie/862965-emily-the-criminal
7,Lost Bullet 2,68.0,"Action, Drama, Thriller",11/10/2022 ,1h 38m,Jean-Baptiste Jay,https://www.themoviedb.org/movie/948276-balle-perdue-2
8,The Minute You Wake Up Dead,49.0,"Thriller, Crime",11/04/2022 ,1h 30m,Michael Mailer,https://www.themoviedb.org/movie/934641-the-minute-you-wake-up-dead
9,"Lyle, Lyle, Crocodile",77.0,"Comedy, Family, Music",10/07/2022 ,1h 46m,Josh Gordon,https://www.themoviedb.org/movie/830784-lyle-lyle-crocodile
10,Disenchanted,73.0,"Comedy, Family, Fantasy",11/18/2022 ,2h,Adam Shankman,https://www.themoviedb.org/movie/338958-disenchanted
11,Frank and Penelope,75.0,"Thriller, Horror, Crime",06/03/2022 ,1h 52m,Sean Patrick Flanery,https://www.themoviedb.org/movie/899294-frank-and-penelope
12,Margaux,68.0,"Horror, Science Fiction",09/09/2022 ,1h 45m,Steven C. Miller,https://www.themoviedb.org/movie/846778-margaux
13,On the Line,65.0,Thriller,10/31/2022 ,1h 44m,Romuald Boulanger,https://www.themoviedb.org/movie/979924-on-the-line
14,Black Panther: Wakanda Forever,75.0,"Action, Adventure, Science Fiction",11/11/2022 ,2h 42m,Ryan Coogler,https://www.themoviedb.org/movie/505642-black-panther-wakanda-forever
15,Sniper: The White Raven,76.0,"Drama, Action, War",08/24/2022 ,2h,Marian Bushan,https://www.themoviedb.org/movie/966220
16,Medieval,72.0,"History, Action, Drama",09/09/2022 ,2h 6m,Petr Jákl,https://www.themoviedb.org/movie/551271-medieval
17,Smile,68.0,"Horror, Mystery, Thriller",09/30/2022 ,1h 55m,Parker Finn,https://www.themoviedb.org/movie/882598-smile
18,Blue's Big City Adventure,74.0,"Family, Adventure, Music, Animation",11/18/2022 ,1h 14m,Matt Stawski,https://www.themoviedb.org/movie/939210-blue-s-big-city-adventure
19,Slumberland,79.0,"Family, Fantasy, Adventure, Drama",11/18/2022 ,1h 57m,Francis Lawrence,https://www.themoviedb.org/movie/668461-slumberland
20,Hellraiser,65.0,"Horror, Mystery",10/07/2022 ,2h 1m,David Bruckner,https://www.themoviedb.org/movie/338947-hellraiser
21,Nice Sister-In-Law 2,50.0,Romance,10/08/2017 ,1h 12m,David Bruckner,https://www.themoviedb.org/movie/485470-2
22,Enola Holmes 2,77.0,"Mystery, Adventure, Comedy, Crime",11/04/2022 ,2h 9m,Harry Bradbeer,https://www.themoviedb.org/movie/829280-enola-holmes-2
23,Blade of the 47 Ronin,69.0,"Action, Fantasy",10/25/2022 ,1h 46m,Ron Yuan,https://www.themoviedb.org/movie/732459-blade-of-the-47-ronin
24,The Soccer Football Movie,67.0,"Animation, Comedy, Family",11/09/2022 ,1h 14m,Mitch Schauer,https://www.themoviedb.org/movie/1037858-the-soccer-football-movie
25,Tom and Jerry Snowman's Land,80.0,"Family, Comedy, Animation, Adventure",11/15/2022 ,1h 16m,Darrell Van Citters,https://www.themoviedb.org/movie/1018403-tom-and-jerry-snowman-s-land
26,Cop Secret,62.0,"Comedy, Action, Thriller",05/23/2022 ,1h 40m,Haraldur Ari Karlsson,https://www.themoviedb.org/movie/792775-leynilogga
27,Tad the Lost Explorer and the Curse of the Mummy,79.0,"Adventure, Animation, Comedy, Family, Fantasy",09/09/2022 ,1h 29m,Enrique Gato,https://www.themoviedb.org/movie/676701-tadeo-jones-3-la-tabla-esmeralda
28,Fall,73.0,Thriller,08/12/2022 ,1h 47m,Scott Mann,https://www.themoviedb.org/movie/985939-fall
29,Overdose,65.0,"Action, Crime, Thriller",11/04/2022 ,1h 59m,Olivier Marchal,https://www.themoviedb.org/movie/896485-overdose
30,All Quiet on the Western Front,78.0,"War, Drama, Action",10/28/2022 ,2h 27m,Edward Berger,https://www.themoviedb.org/movie/49046-im-westen-nichts-neues
31,Terrifier 2,70.0,"Horror, Thriller",10/28/2022 ,2h 18m,Michael Leavy,https://www.themoviedb.org/movie/663712-terrifier-2
32,The Lair,60.0,"Action, Horror",11/24/2022 ,1h 33m,Neil Marshall,https://www.themoviedb.org/movie/760204-the-lair
33,In the Forest,67.0,"Horror, Thriller",01/28/2022 ,1h 23m,Hector Barron,https://www.themoviedb.org/movie/929562-in-the-forest
34,To Kill the Beast,56.0,"Mystery, Fantasy, Thriller",04/28/2022 ,1h 29m,Agustina San Martín,https://www.themoviedb.org/movie/856245-matar-a-la-bestia
35,The Friendship Game,52.0,"Science Fiction, Horror",11/11/2022 ,1h 27m,Scooter Corkle,https://www.themoviedb.org/movie/844396-the-friendship-game
36,Jeepers Creepers: Reborn,58.0,"Horror, Thriller, Mystery",09/15/2022 ,1h 28m,Timo Vuorensola,https://www.themoviedb.org/movie/717728-jeepers-creepers-reborn
37,MexZombies,72.0,"Horror, Action, Comedy",10/26/2022 ,1h 33m,Chava Cartas,https://www.themoviedb.org/movie/675054-mexzombies
38,Blackout,54.0,"Action, Adventure, Thriller",10/12/2022 ,1h 21m,Sam Macaroni,https://www.themoviedb.org/movie/759507-blackout
39,Avatar: The Way of Water,0.0,"Science Fiction, Action, Adventure",12/16/2022 ,3h 12m,James Cameron,https://www.themoviedb.org/movie/76600-avatar-the-way-of-water
40,The Menu,73.0,"Comedy, Horror, Thriller",11/18/2022 ,1h 47m,Mark Mylod,https://www.themoviedb.org/movie/593643-the-menu
41,Wild Is the Wind,60.0,"Crime, Drama",10/28/2022 ,2h 3m,Fabian Medea,https://www.themoviedb.org/movie/1033107-wild-is-the-wind
42,The Visitor,64.0,"Horror, Mystery, Thriller",10/07/2022 ,1h 26m,Justin P. Lange,https://www.themoviedb.org/movie/881487-the-visitor
43,Legend of the Galactic Heroes: Die Neue These - Intrigue 1,63.0,,09/30/2022 ,Null,Justin P. Lange,https://www.themoviedb.org/movie/1030419-die-neue-these-1
44,Project Gemini,57.0,Science Fiction,01/06/2022 ,1h 38m,Serik Beyseu,https://www.themoviedb.org/movie/575322
45,Blowback,53.0,"Action, Thriller, Crime",11/17/2022 ,1h 33m,Tibor Takács,https://www.themoviedb.org/movie/972313-blowback
46,The Invitation,64.0,"Horror, Thriller",08/26/2022 ,1h 45m,Jessica M. Thompson,https://www.themoviedb.org/movie/830788-the-invitation
47,Wendell & Wild,68.0,"Animation, Comedy, Fantasy, Adventure",10/21/2022 ,1h 47m,Henry Selick,https://www.themoviedb.org/movie/511817-wendell-wild
48,Thor: Love and Thunder,67.0,"Fantasy, Action, Comedy",07/08/2022 ,1h 59m,Taika Waititi,https://www.themoviedb.org/movie/616037-thor-love-and-thunder
49,Spirited,73.0,Comedy,11/17/2022 ,2h 7m,Sean Anders,https://www.themoviedb.org/movie/632856-spirited
50,The Guardians of the Galaxy Holiday Special,75.0,"Comedy, Science Fiction, Adventure",11/25/2022 ,45m,James Gunn,https://www.themoviedb.org/movie/774752-the-guardians-of-the-galaxy-holiday-special
51,Jurassic World Dominion,70.0,"Adventure, Action, Science Fiction",06/10/2022 ,2h 27m,Colin Trevorrow,https://www.themoviedb.org/movie/507086-jurassic-world-dominion
52,Under Wraps 2,65.0,"Family, Fantasy, TV Movie",09/30/2022 ,1h 23m,Alex Zamm,https://www.themoviedb.org/movie/936061-under-wraps-2
53,The Red Book Ritual,65.0,Horror,09/13/2022 ,1h 23m,Brian Deane,https://www.themoviedb.org/movie/928391-the-red-book-ritual
54,Bullet Train,75.0,"Action, Comedy, Thriller",08/05/2022 ,2h 7m,David Leitch,https://www.themoviedb.org/movie/718930-bullet-train
55,The Quintessential Quintuplets Movie,90.0,"Animation, Comedy, Romance",05/20/2022 ,2h 16m,Masato Jimbo,https://www.themoviedb.org/movie/820067
56,Spider-Man: No Way Home,80.0,"Action, Adventure, Science Fiction",12/17/2021 ,2h 28m,Jon Watts,https://www.themoviedb.org/movie/634649-spider-man-no-way-home
57,Hocus Pocus 2,75.0,"Fantasy, Comedy, Family",09/30/2022 ,1h 47m,Anne Fletcher,https://www.themoviedb.org/movie/642885-hocus-pocus-2
58,Beast,70.0,"Thriller, Adventure, Horror",08/19/2022 ,1h 33m,Baltasar Kormákur,https://www.themoviedb.org/movie/760741-beast
59,Barbie Epic Road Trip,77.0,"Comedy, Family, Animation",10/25/2022 ,37m,Conrad Helten,https://www.themoviedb.org/movie/1034470-barbie-epic-road-trip
60,Dragon Ball Super: Super Hero,80.0,"Animation, Science Fiction, Action",08/26/2022 ,1h 39m,Tetsuro Kodama,https://www.themoviedb.org/movie/610150
61,Fullmetal Alchemist: The Final Alchemy,64.0,"Action, Adventure, Fantasy",06/24/2022 ,2h 23m,Fumihiko Sori,https://www.themoviedb.org/movie/960704
62,Avatar,75.0,"Action, Adventure, Fantasy, Science Fiction",08/27/2010 ,2h 42m,Michael Musteric,https://www.themoviedb.org/movie/19995-avatar
63,Top Gun: Maverick,83.0,"Action, Drama",05/27/2022 ,2h 11m,Joseph Kosinski,https://www.themoviedb.org/movie/361743-top-gun-maverick
64,Orphan: First Kill,68.0,"Horror, Thriller",10/17/2022 ,1h 39m,William Brent Bell,https://www.themoviedb.org/movie/760161-orphan-first-kill
65,Mia and Me: The Hero of Centopia,74.0,"Animation, Fantasy, Adventure",05/26/2022 ,1h 22m,Adam Gunn,https://www.themoviedb.org/movie/955644-mia-and-me-the-hero-of-centopia
66,My Father's Dragon,74.0,"Animation, Adventure, Family, Fantasy, Comedy",11/11/2022 ,1h 44m,Fabian Erlinghäuser,https://www.themoviedb.org/movie/560052-my-father-s-dragon
67,Prey,79.0,"Thriller, Action, Science Fiction",08/05/2022 ,1h 40m,Mia Fortier,https://www.themoviedb.org/movie/766507-prey
68,Madagascar: A Little Wild Holiday Goose Chase,53.0,"Animation, Comedy",11/26/2021 ,24m,Chad Van De Keere,https://www.themoviedb.org/movie/904039-madagascar-a-little-wild-holiday-goose-chase
69,The School for Good and Evil,73.0,"Fantasy, Action, Drama",10/19/2022 ,2h 26m,Paul Feig,https://www.themoviedb.org/movie/779782-the-school-for-good-and-evil
70,Polar,50.0,"Action, Adventure, Thriller",10/26/2022 ,1h 16m,Alberto Palma,https://www.themoviedb.org/movie/855440-polar
71,The Infernal Machine,69.0,"Thriller, Mystery",12/02/2022 ,1h 47m,Andrew Hunt,https://www.themoviedb.org/movie/916605-the-infernal-machine
72,Sonic the Hedgehog 2,76.0,"Action, Adventure, Family, Comedy",04/08/2022 ,2h 2m,Jeff Fowler,https://www.themoviedb.org/movie/675353-sonic-the-hedgehog-2
73,The Takeover,58.0,"Action, Crime, Thriller",11/01/2022 ,1h 27m,Marco Maas,https://www.themoviedb.org/movie/944864-the-takeover
74,Watcher,63.0,"Mystery, Thriller, Horror",06/03/2022 ,1h 36m,Chloe Okuno,https://www.themoviedb.org/movie/807356-watcher
75,Code Name Banshee,52.0,"Thriller, Action",07/14/2022 ,1h 33m,Jon Keeyes,https://www.themoviedb.org/movie/916719-code-name-banshee
76,Cuando Sea Joven,89.0,"Comedy, Fantasy",09/14/2022 ,1h 55m,Raúl Martínez,https://www.themoviedb.org/movie/772071-cuando-sea-joven
77,Drifting Home,78.0,"Animation, Drama, Mystery, Fantasy, Family",09/16/2022 ,2h,Hiroyasu Ishida,https://www.themoviedb.org/movie/877957
78,Family Game,51.0,"Thriller, Drama",06/17/2022 ,1h 50m,Rafaël Ouellet,https://www.themoviedb.org/movie/848526-arsenault-fils
79,A Christmas Mystery,77.0,"Family, Comedy, Drama, Fantasy, Mystery, Thriller",11/24/2022 ,1h 27m,Alex Ranarivelo,https://www.themoviedb.org/movie/987919-a-christmas-mystery
80,The Bush,50.0,Thriller,08/18/2022 ,1h 27m,Sebastián Caulier,https://www.themoviedb.org/movie/960096-el-monte
